3 Choume no Tama: Tama and Friends – 3 Choume Obake Panic!!,Tom Create,B-AI,"August 5, 1994",Unreleased,Unreleased
Ferrari Grand Prix ChallengeFerrari JP,System 3NMS Software,Acclaim NA/EUCoconuts Japan JP,"November 13, 1992",September 1992,1992
The Fidgetts,Game Over,Elite Systems EUCoconuts Japan JPJaleco NA,"April 22, 1994",October 1997,1993
FIFA International Soccer,Probe Entertainment Limited,Malibu Games,Unreleased,February 1995,1995
FIFA Soccer 96,Probe Entertainment Limited,Black Pearl Software,Unreleased,December 1995,1996
FIFA Soccer 97FIFA 97 EU,Tiertex Design Studios,Black Pearl Software,Unreleased,November 1996,1997
FIFA: Road to World Cup 98,Tiertex Design Studios,THQ,Unreleased,December 1997,1998
Fighting Simulator: 2-in-1 Flying WarriorsHiryu no Ken Gaiden JP,Culture Brain,Culture Brain,"December 22, 1990",April 1992,1992
Final Fantasy AdventureSeiken Densetsu: Final Fantasy Gaiden JPMystic Quest EU,Square,Square,"June 28, 1991",November 1991,1993
The Final Fantasy LegendMakai Toushi SaGa JP,Square,Square,"December 15, 1989","September 30, 1990",Unreleased
Final Fantasy Legend IISaGa 2: Hihou Densetsu JP,Square,Square,"December 14, 1990",November 1991,Unreleased
Final Fantasy Legend IIISaGa 3: Jikuu no Hasha JP,Square,Square,"December 13, 1991",August 1993,Unreleased
Final Reverse,Shouei System,Toei Animation,"April 12, 1991",Unreleased,Unreleased
Fire Fighter,Teeny Weeny Games,Mindscape,Unreleased,Cancelled,1992
Fish DudeUoozu JP,Salio,Towa Chiki JPSOFEL NA,"October 5, 1990",April 1991,Unreleased
Fist of the North Star: 10 Big Brawls for the King of UniverseHokuto no Ken: Seizetsu Juuban Shoubu JP,Shouei System,Toei Animation JPElectro Brain NA,"December 22, 1989",April 1990,Unreleased
Flappy Special,,Victor Interactive Software,"March 23, 1990",Unreleased,Unreleased
The Flash,Equilibrium,THQ,Unreleased,March 1992,1991
Fleet Commander Vs.,,ASCII Corporation,"August 2, 1991",Unreleased,Unreleased
The Flintstones,Twilight,Ocean,Unreleased,December 1994,1994
The Flintstones: King Rock Treasure Island,Taito Corporation,Taito Corporation,Unreleased,February 1993,1993
Flipull: An Exciting Cube Game,Taito Corporation,Taito Corporation,"March 16, 1990",April 1990,Unreleased
Football InternationalSoccer JP,TOSE,Tonkin House JPBandai EU,"June 7, 1991",Unreleased,1991
Foreman for Real,Software Creations,Acclaim,"October 27, 1995",September 1995,1995
Fortified ZoneIkari no Yousai JP,Jaleco,Jaleco,"February 26, 1991",September 1991,1991
Frank Thomas Big Hurt Baseball,Realtime Associates,Acclaim,Unreleased,December 1995,1996
"Franky, Joe & Dirk: On The Tiles",Audio Visual Magic,Elite Systems,Unreleased,Unreleased,1993
Frisky Tom,,Nichibutsu,"July 14, 1995",Unreleased,Unreleased
Frogger,Majesco Sales,Majesco Sales,Unreleased,August 1998,Unreleased
Fushigi no Dungeon: Furai no Shiren GB: Tsukikagemura no Kaibutsu,Chunsoft,Chunsoft,"November 22, 1996",Unreleased,Unreleased
G-Arms: Operation Gundam,,Bandai,"May 18, 1991",Unreleased,Unreleased
G1 King! 3-Hitsu no Yosouya,Graphic Research,Vic Tokai,"March 26, 1993",Unreleased,Unreleased
Gakken Kanyouku: Kotowaza 210,,Imagineer,"January 30, 1998",Unreleased,Unreleased
Gakken Rekishi 512,Sun-Tec,Imagineer,"May 29, 1998",Unreleased,Unreleased
Gakken Shiaza Jukugo 288,,Imagineer,"January 30, 1998",Unreleased,Unreleased
Game & Watch GalleryGame Boy Gallery JP,Nintendo,Nintendo,"February 1, 1997",May 1997,"August 28, 1997"
Game Boy Gallery,TOSE,Nintendo,Unreleased,Unreleased,"April 27, 1995"
Game Boy Gallery 2,TOSE,Nintendo,"September 27, 1997",Unreleased,Unreleased
Game Boy Wars,Intelligent Systems,Nintendo,"May 21, 1991",Unreleased,Unreleased
Game Boy Wars Turbo,,Hudson Soft,"June 27, 1997",Unreleased,Unreleased
Game de Hakken!! Tamagotchi 2,Tom Create,Bandai,"October 17, 1997",Unreleased,Unreleased
Game de Hakken!! Tamagotchi Osucchi to Mesucchi,Tom Create,Bandai,"January 15, 1998",Unreleased,Unreleased
The Game of Harmony,The Code Monkeys,Accolade,Unreleased,February 1991,Unreleased
Gamera: Daikaijuu Kuuchuu Kessen,KID,Angel,"March 3, 1995",Unreleased,Unreleased
Ganbare Goemon: Sarawareta Ebisumaru!,Konami,Konami,"December 25, 1991",Unreleased,Unreleased
Ganso!! Yancha-Maru,,Irem,"July 11, 1991",Unreleased,Unreleased
Gargoyle's Quest: Ghosts 'n GoblinsRed Arremer: Makaimura Gaiden JP,Capcom,Capcom,"May 2, 1990",July 1990,1991
Gauntlet II,Eastridge Technology,Mindscape,Unreleased,September 1991,1991
GB Genjin Land: Viva! Chikkun Ōkoku,A.I,Hudson Soft,"April 22, 1994",Unreleased,Unreleased
GB Pachi-Slot Hisshouhou Jr.,,Sammy Corporation,"July 29, 1994",Unreleased,Unreleased
Gear Works,Teque Interactive,Sony Imagesoft,Unreleased,October 1993,1993
Gegege no Kitarou: Youkai Souzoushu Arawaru!,Act Japan,Bandai,"December 13, 1996",Unreleased,Unreleased
Gekitou Power Modeler,Japan System Supply,Capcom,"November 27, 1998",Unreleased,Unreleased
Gem Gem,Graphic Research,Vic Tokai,"March 29, 1991",Unreleased,Unreleased
Genjin Kotts,KID,B-AI,"March 24, 1995",Unreleased,Unreleased
Genki Bakuhatsu Ganbaruger,Sun L,Tomy,"November 27, 1992",Unreleased,Unreleased
George Foreman's KO Boxing,Beam Software,Acclaim,Unreleased,September 1992,1992
Gerry Anderson's Thunderbirds,KID,B-AI,"February 12, 1993",Unreleased,Unreleased
The Getaway: High Speed II,Unexpected Development,Williams,Unreleased,December 1995,Unreleased
Ghostbusters IIGhostbusters 2 JP,HAL Laboratory,Activision EU/NAHAL Laboratory JP,"October 16, 1990",December 1990,1991
Ginga,Hot B,Hot B,"December 14, 1990",Unreleased,Unreleased
Go Go Ackman,,Banpresto,"August 25, 1995",Unreleased,Unreleased
Go! Go! Hitchhike,Ocarina System,J-Wing,"July 10, 1998",Unreleased,Unreleased
Go! Go! Tank,Copya Systems,Copya Systems JPElectro Brain NA,"November 30, 1990",May 1991,Unreleased
Goal!J.Cup Soccer JPTakeda Nobuhiro no Ace Striker JP,TOSE,Jaleco,"July 23, 1993",August 1993,1993
God Medicine: Fantasy Sekai no Tanjou,KCE Nagoya,Konami,"July 20, 1993",Unreleased,Unreleased
GodzillaGojira-kun: Kaiju Daikoshin JP,Compile,Toho NA/JPNintendo EU,"December 18, 1990",October 1990,1991
Golf,Nintendo,Nintendo,"November 28, 1989",February 1990,1990
Gradius: The Interstellar AssaultNemesis II JPNemesis II: The Return of the Hero EU,Konami,Konami,"August 9, 1991",January 1992,1992
Grander Musashi RV,TOSE,Bandai,"July 24, 1998",Unreleased,Unreleased
Great GreedBitamīna Oukoku Monogatari JP,Namco,Namco,"September 17, 1992",April 1993,Unreleased
Gremlins 2: The New Batch,Sunsoft,Sunsoft,"December 21, 1990",January 1991,"April 23, 1992"
HAL WrestlingPro Wrestling JP,Human Entertainment,Human Entertainment JPHAL Laboratory NA,"September 14, 1990",December 1990,Unreleased
Hammerin' Harry: Ghost Building CompanyDaiku no Gen-san: Ghost Building Company JP,Tamtex,Irem,"July 31, 1992",Cancelled,1993
Harvest Moon GBBokujou Monogatari GB JP,Victor Interactive Software,Victor Interactive Software JPNatsume NA,"December 19, 1997",August 1998,Unreleased
Hatris,Bullet-Proof Software,Bullet-Proof Software,"July 19, 1991",May 1991,Unreleased
Hayaoshi Quiz: Ouza Ketteisen,,Jaleco,"July 31, 1998",Unreleased,Unreleased
Heavyweight Championship BoxingBoxing JP,TOSE,Tonkin House JPActivision NA,"May 18, 1990",September 1990,Unreleased
Heiankyo Alien,Hyperware,Meldac,"January 14, 1990",April 1990,Unreleased
Heisei Tensai Bakabon,,Namco,"February 28, 1992",Unreleased,Unreleased
Heracles no Eikō: Ugokidashita Kamigami,Data East & SAS Sakata,Data East,"December 27, 1992",Unreleased,Unreleased
Hercules,Tiertex Design Studios,THQ,Unreleased,July 1997,1997
Hero Shugo!! Pinball Party,,Jaleco,"January 12, 1990",Unreleased,Unreleased
Hiden Inyo Kikoho: Ca Da,,Yonezawa PR21,"November 22, 1991",Unreleased,Unreleased
Higashio Osamu Kanshuu Pro Yakyuu Stadium '91,,Tokuma Shoten,"August 9, 1991",Unreleased,Unreleased
Higashio Osamu Kanshuu Pro Yakyuu Stadium '92,,Tokuma Shoten,"July 17, 1992",Unreleased,Unreleased
High Stakes Gambling,Sculptured Software,Electro Brain,Unreleased,June 1992,Unreleased
Hit the Ice,Williams,Taito Corporation,Unreleased,October 1992,Unreleased
Hitori de Dekirumon! Cooking Densetsu,Jorudan,VAP,"December 18, 1992",Unreleased,Unreleased
Home Alone,Imagineering,THQ NA/EUAltron JP,"June 26, 1992",November 1991,1991
Home Alone 2: Lost in New York,Imagineering,THQ,Unreleased,October 1992,1992
Hon Shogi,,Imagineer,"November 25, 1994",Unreleased,Unreleased
Hong Kong,Onion Software,Tokuma Shoten,"August 11, 1990",Unreleased,Unreleased
Honmei Boy,,Nichibutsu,"October 7, 1994",Unreleased,Unreleased
Honō no Dōkyūji: Dodge Danpei,,Hudson Soft,"April 24, 1992",Unreleased,Unreleased
Hook,Painting by Numbers,Sony Imagesoft JP/NAOcean EU,"April 3, 1992",April 1992,1992
Hudson Hawk,Ocean,Sony Imagesoft NAEpic/Sony Records JP,"March 13, 1992",December 1991,Unreleased
Hugo 2,Bit Managers,Laguna,Unreleased,Unreleased,1997
The Humans,Imagitec Design,GameTek,Unreleased,December 1992,1993
The Hunchback of Notre Dame,Tiertex Design Studios,THQ,Unreleased,March 1997,1997
The Hunt for Red October,Beam Software,Hi Tech Expressions NA/EUAltron JP,"April 28, 1992",May 1991,"June 11, 1992"
Hyper Black Bass '95,,Black Label Games,"October 20, 1995",Unreleased,Unreleased
Hyper Lode Runner: The Labyrinth of DoomHyper Lode Runner JP,TOSE,Bandai,"September 21, 1989",February 1990,1990
Ikari no Yousai 2,,Jaleco,"February 21, 1992",Unreleased,Unreleased
In Your Face,Jaleco,Jaleco,Unreleased,December 1990,Unreleased
The Incredible Crash Dummies,Software Creations,LJN,Unreleased,November 1992,1992
Indiana Jones and the Last CrusadeIndiana Jones: Saigo no Seisen JP,NMS Software,Ubisoft NA/EUCoconuts Japan JP,"December 23, 1994",July 1994,1994
Un Indien Dans La Ville,Titus Software,Titus Software,Unreleased,Unreleased,1995
InfoGenius Productivity Pak: Berlitz French Translator,Imagineering,GameTek,Unreleased,September 1991,1991
InfoGenius Productivity Pak: Berlitz Spanish Translator,Imagineering,GameTek,Unreleased,September 1991,1991
InfoGenius Productivity Pak: Frommer's Travel Guide,NovaLogic,GameTek,Unreleased,September 1991,Unreleased
InfoGenius Productivity Pak: Personal Organizer and Phone Book,Imagineering,GameTek,Unreleased,September 1991,1991
InfoGenius Productivity Pak: Spell Checker and Calculator,Imagineering,GameTek,Unreleased,September 1991,Unreleased
Initial D Gaiden,MTO,Kodansha,"March 6, 1998",Unreleased,Unreleased
International Superstar SoccerWorld Soccer GB JP,KCE Nagoya,Konami,"June 4, 1998",October 1998,1998
Ippatsu Gyakuten: DX Bakenou,Graphic Research,Asmik Ace Entertainment,"May 17, 1991",Unreleased,Unreleased
Iron Man and X-O Manowar in Heavy Metal,Realtime Associates,Acclaim,Unreleased,August 1996,Unreleased
Ishida Masao no Tsumego Paradise,,Pony Canyon,"December 21, 1990",Unreleased,Unreleased
Ishido: The Way of Stones,Nexoft,ASCII Corporation JPNexoft NA,"August 2, 1990",November 1990,Unreleased
Itsudemo! Nyan to Wonderful,Yoshidayama Workshop,Banpresto,"June 26, 1998",Unreleased,Unreleased
J-League Fighting Soccer: The King of Ace Strikers,Graphic Research,IGS,"December 27, 1992",Unreleased,Unreleased
J-League Live '95,Graphic Research,Electronic Arts Victor,"April 21, 1995",Unreleased,Unreleased
J-League Supporter Soccer,,J-Wing,"June 26, 1998",Unreleased,Unreleased
J-League Winning Goal,Graphic Research,Electronic Arts Victor,"April 2, 1994",Unreleased,Unreleased
Jack Nicklaus Golf,Sculptured Software,Tradewest,Unreleased,May 1992,1992
James Bond 007,Saffire,Nintendo,Unreleased,"February 9, 1998","January 29, 1998"
Janken Man,,NCS,"December 27, 1991",Unreleased,Unreleased
Janshirou,,Sammy Corporation,"March 27, 1992",Unreleased,Unreleased
Janshirou II: Sekai Saikyou no Janshi,,Sammy Corporation,"March 18, 1994",Unreleased,Unreleased
Jantaku Boy,,Namco,"January 24, 1992",Unreleased,Unreleased
Jeep Jamboree: Off Road Adventure,Gremlin Graphics,Virgin Interactive,Unreleased,July 1992,Unreleased
Jelly Boy,Probe Entertainment Limited,Ocean,Unreleased,Unreleased,1994
Jeopardy!,Data Design Interactive,GameTek,Unreleased,March 1991,Unreleased
Jeopardy! Platinum Edition,Data Design Interactive,GameTek,Unreleased,December 1996,Unreleased
Jeopardy! Sports Edition,Data Design Interactive,GameTek,Unreleased,May 1994,Unreleased
Jeopardy! Teen Tournament,Data Design Interactive,GameTek,Unreleased,December 1996,Unreleased
The Jetsons: Robot Panic,Act Japan,Taito Corporation,Unreleased,October 1992,"April 29, 1993"
Jikuu Senki Mu,,Hudson Soft,"September 13, 1991",Unreleased,Unreleased
Jimmy Connors TennisJimmy Connors no Pro Tennis Tour JPYannick Noah Tennis EU,NMS Software,Misawa JPUbisoft NA/EU,"July 23, 1993",May 1998,1993
Jinsei Game,,Takara,"June 23, 1995",Unreleased,Unreleased
Jinsei Game Densetsu,,Takara,"June 28, 1991",Unreleased,Unreleased
Joe & MacJoe & Mac: Caveman Ninja EU,MotiveTime,Data East NAElite Systems EU,Unreleased,June 1993,1993
Jordan vs. Bird: One on OneMichael Jordan: One on One JP,Imagineering,Electronic Arts NA/EUElectronic Arts Victor JP,"July 16, 1993",February 1992,1992
Judge Dredd,Probe Entertainment Limited,Acclaim NA/EUAcclaim Japan JP,"October 27, 1995",June 1995,1995
The Jungle Book,Eurocom,Virgin Interactive,Unreleased,August 1994,1994
Jungle no Ouja Tar-chan,Sun L,Bandai,"July 29, 1994",Unreleased,Unreleased
Jungle Strike,Ocean,Malibu Games NAOcean EU,Unreleased,June 1995,1995
Jungle Wars,Atelier Double,Pony Canyon,"June 21, 1991",Unreleased,Unreleased
Jurassic Park,Ocean,Ocean,Unreleased,August 1993,1993
Jurassic Park Part 2: The Chaos Continues,Ocean,Ocean,Unreleased,December 1994,1995
Kaeru no Tame ni Kane wa Naru,Intelligent Systems,Nintendo,"September 14, 1992",Unreleased,Unreleased
Kaijū-ō Godzilla,,Bandai,"December 17, 1993",Unreleased,Unreleased
Kaisen Game: Navy Blue 90,Use Corporation,Use Corporation,"December 7, 1990",Unreleased,Unreleased
Kamen Rider SD: Hashire! Mighty Riders,,Yutaka,"August 20, 1993",Unreleased,Unreleased
Kandume Monsters,,I'Max,"March 27, 1998",Unreleased,Unreleased
Karakuri Kengou Den Musashi Lord,TOSE,Yutaka,"April 27, 1991",Unreleased,Unreleased
Karamuchou no Daijiken,Freeqsoft,Starfish,"December 19, 1997",Unreleased,Unreleased
Kaseki Sousei Reborn,Freeqsoft,Starfish,"July 17, 1998",Unreleased,Unreleased
Katsuba Yosou Keiba Kizoku,,King Records,"August 27, 1993",Unreleased,Unreleased
Katsuba Yosou Keiba Kizoku EX '94,,King Records,"July 29, 1994",Unreleased,Unreleased
Katsuba Yosou Keiba Kizoku EX '95,,King Records,"April 14, 1995",Unreleased,Unreleased
Kattobi Road,Now Production,Namco,"October 8, 1993",Unreleased,Unreleased
Keitai Keiba Eight Special,,Imagineer,"November 18, 1994",Unreleased,Unreleased
"Ken Griffey, Jr. Presents Major League Baseball",Software Creations,Nintendo,Unreleased,"July 17, 1997",1997
Kenyuu Densetsu Yaiba,,Banpresto,"March 25, 1994",Unreleased,Unreleased
Kibihara Hinshutsu Eibunpou: Gohou Mondai 1000,Sun-Tec,Imagineer,"April 22, 1998",Unreleased,Unreleased
Kid DraculaAkumajou Special: Boku Dracula-kun JP,Konami,Konami,"January 3, 1993",March 1993,1993
Kid Icarus: Of Myths and Monsters,TOSE,Nintendo,Unreleased,"November 5, 1991","May 21, 1992"
Kikou Keisatsu Metal Jack,KID,Takara,"January 8, 1992",Unreleased,Unreleased
Killer Instinct,Rare,Nintendo,Unreleased,November 1995,November 1995
The King of Fighters '95Nettou The King of Fighters '95 JP,SNK,Takara JPNintendo NALaguna EU,"April 26, 1996",February 1997,1997
The King of Fighters: Heat of BattleNettou The King of Fighters '96 JP,SNK,Takara JPLaguna EU,"August 8, 1997",Unreleased,1998
Kingdom CrusadeThe Legend of Prince Valiant EU,Sculptured Software,Ocean EUElectro Brain NA,Unreleased,November 1992,1991
Kingyo Chuuihou! 2 Gyopichan o Sagase!,KID,B-AI,"November 27, 1992",Unreleased,Unreleased
Kingyo Chuuihou! Wapiko no Waku Waku Stamp Rally!,Tom Create,Yutaka,"December 14, 1991",Unreleased,Unreleased
Kininkou Maroku Oni,Winkysoft,Banpresto,"December 8, 1990",Unreleased,Unreleased
Kinnikuman: The Dream Match,,Yutaka,"September 12, 1992",Unreleased,Unreleased
Kirby's Block Ball,HAL Laboratory,Nintendo,"December 14, 1995",May 1996,1995
Kirby's Dream LandHoshi no Kabi JP,HAL Laboratory,Nintendo,"April 24, 1992","August 1, 1992","August 3, 1992"
Kirby's Dream Land 2Hoshi no Kabi 2 JP,HAL Laboratory,Nintendo,"March 21, 1995","May 1, 1995","July 31, 1995"
Kirby's Pinball LandKirby no Pinball JP,HAL Laboratory,Nintendo,"November 27, 1993",November 1993,1993
Kirby's Star StackerKirby no Kirakira Kids JP,HAL Laboratory,Nintendo,"January 25, 1997",April 1997,"August 28, 1997"
Kitchen Panic,Bits Laboratory,Coconuts Japan,"May 10, 1991",Unreleased,Unreleased
Kiteretsu Daihyakka: Bouken Ouedo Juraki,,Video System,"July 15, 1994",Unreleased,Unreleased
Kizuchida Quiz da Gen-San Da!,Tamtex,Irem,"December 18, 1992",Unreleased,Unreleased
Klax,Hudson Soft,Hudson Soft,"December 14, 1990",Unreleased,Unreleased
Klax,Eastridge Technology,Mindscape,Unreleased,July 1991,1991
Knight Quest,Lenar,Taito Corporation,"September 13, 1991",July 1992,Unreleased
Koi Wa Kakehiki,Graphic Research,Pony Canyon,"July 21, 1991",Unreleased,Unreleased
Konami GB Collection Vol. 2,TOSE,Konami,"December 11, 1997",Unreleased,Unreleased
Konami GB Collection Vol. 3,TOSE,Konami,"February 19, 1998",Unreleased,Unreleased
Konami GB Collection Vol. 4,TOSE,Konami,"March 19, 1998",Unreleased,Unreleased
Konchuu Hakase,Ocarina System,J-Wing,"August 28, 1998",Unreleased,Unreleased
Koro Dice,A-Wave,King Records,"December 7, 1990",Unreleased,Unreleased
Koukiatsu Boy,KCE Shinjuku,Konami,"July 2, 1998",Unreleased,Unreleased
Koukou Nyuushideru Jun: Chugaku Eijukugo 350,C-Lab,Imagineer,"July 25, 1997",Unreleased,Unreleased
Koukou Nyuushideru Jun: Chugaku Eitango 1700,C-Lab,Imagineer,"June 27, 1997",Unreleased,Unreleased
Koukou Nyuushideru Jun: Kanji Mondai no Seifuku,C-Lab,Imagineer,"August 29, 1997",Unreleased,Unreleased
Koukou Nyuushideru Jun: Rekishi Nendai Anki Point 240,C-Lab,Imagineer,"September 26, 1997",Unreleased,Unreleased
Koukou Nyuushideru Jun: Rika Anki Point 250,C-Lab,Imagineer,"October 1, 1997",Unreleased,Unreleased
Krusty's Fun HouseKrusty World JP,Audiogenic,Acclaim NA/EUAcclaim Japan JP,"July 29, 1994",January 1993,"October 27, 1994"
Kuma no Puutarou: Takara Sagashi da Ooiri Game Battle!,Eleca,Takara,"February 29, 1996",Unreleased,Unreleased
Kung-Fu MasterSpartan X JP,Irem,Irem JP/NANintendo EU,"December 11, 1990",February 1991,1991
Kuusou Kagaku Sekai Gulliver Boy: Kuusou Kagaku Puzzle – Puritto Pon,,Bandai,"April 28, 1995",Unreleased,Unreleased
KwirkPuzzle Boy JP,Atlus,Atlus JPAcclaim NANintendo EU,"November 24, 1989",March 1990,1990
Lamborghini American Challenge,Titus Software,Titus Software,Unreleased,April 1994,1993
Last Action Hero,Bits Studios,Sony Imagesoft,Unreleased,October 1993,1993
The Lawnmower ManVirtual Wars JP,The Sales Curve,The Sales Curve EUCoconuts Japan JP,"February 11, 1994",Unreleased,November 1993
Lazlo's LeapSolitaire JP,Hect,Hect JPDTMC NA,"June 26, 1992",October 1992,Unreleased
Legend: Ashita e no Tsubasa,,Quest,"May 31, 1991",Unreleased,Unreleased
Legend of the River King GBKawa no Nushi Tsuri 3 JP,TOSE,Victor Interactive Software JPNatsume NA,"September 19, 1997",August 1998,Unreleased
The Legend of Zelda: Link's AwakeningZelda no Densetsu: Yume o Miru Shima JP,Nintendo,Nintendo,"June 6, 1993",August 1993,"November 18, 1993"
Lemmings,Ocean,Imagineer JPOcean NA/EU,"September 23, 1993",August 1994,1993
Lemmings 2: The Tribes,DMA Design,Psygnosis,Unreleased,Unreleased,1994
Lethal Weapon,Eurocom,Ocean,Unreleased,April 1993,1993
Lingo,PCSL Software,Altron,Unreleased,Unreleased,1994
The Lion King,Dark Technologies,Virgin Interactive,Unreleased,April 1995,"December 8, 1994"
Little Master 2: Raikou no Kishi,Zener Works,Tokuma Shoten,"March 27, 1992",Unreleased,Unreleased
Little Master: Likebahn no Densetsu,Zener Works,Tokuma Shoten,"April 19, 1991",Unreleased,Unreleased
The Little Mermaid,Capcom,Capcom,Unreleased,February 1993,1992
Lock 'n' Chase,Data East,Data East,"May 11, 1990",July 1990,1990
Looney TunesLooney Tunes: Bugs Bunny to Yukai na Nakama Tachi JP,Sunsoft,Sunsoft,"December 22, 1992",October 1992,1992
Loopz,Argonaut Games,Mindscape,"March 15, 1991",March 1991,1991
The Lost World: Jurassic Park,Torus Games,THQ,Unreleased,December 1997,1997
Lucky Luke,Bit Managers,Infogrames,Unreleased,Unreleased,1996
Lucle,Vic Tokai,Vic Tokai JPNintendo EU,"March 25, 1994",Unreleased,1995
Lunar Lander,,Pack-In-Video,"September 21, 1990",Unreleased,Unreleased
Mach Go Go Go,TOSE,Tomy,"August 8, 1997",Unreleased,Unreleased
Madden '95,Halestorm,Malibu Games,Unreleased,November 1994,1994
Madden '96,Halestorm,Black Pearl Software,Unreleased,October 1995,1995
Madden '97,Tiertex Design Studios,Black Pearl Software,Unreleased,November 1996,Unreleased
Magical Taluluto-kun,TOSE,Bandai,"June 15, 1991",Unreleased,Unreleased
Magical Taluluto-kun 2: Raiba Zone Panic!!,Tom Create,Bandai,"July 10, 1992",Unreleased,Unreleased
Magnetic Soccer,Nintendo,Nintendo,Unreleased,Unreleased,1992
Mahou Kishi Rayearth,Pandora Box,Tomy,"June 2, 1995",Unreleased,Unreleased
Mahou Kishi Rayearth 2nd: The Missing Colors,Pandora Box,Tomy,"October 27, 1995",Unreleased,Unreleased
Mahoujin GuruGuru: Yuusha to Kukuri no Daibouken,KID,Takara,"April 28, 1995",Unreleased,Unreleased
Makai-Mura Gaiden: The Demon Darkness,Sun L,Capcom,"April 16, 1993",Cancelled,Unreleased
Malibu Beach VolleyballSeaside Volley JP,TOSE,Tonkin House JPActivision NA,"October 31, 1989",March 1990,Unreleased
Marble Madness,Eastridge Technology,Mindscape,Unreleased,May 1991,"May 21, 1992"
Marchen Club,,Naxat Soft,"September 25, 1992",Unreleased,Unreleased
Mario's Picross,Jupiter Corporation,Nintendo,"March 14, 1995",March 1995,"July 27, 1995"
Marmalade Boy,Tom Create,Bandai,"January 27, 1995",Unreleased,Unreleased
Maru's MissionOira Jajamaru! Sekai Daiboken JP,TOSE,Jaleco,"September 28, 1990",March 1991,Unreleased
Masakari Densetsu: Kintarou Action-Hen,TOSE,Tonkin House,"August 7, 1992",Unreleased,Unreleased
Masakari Densetsu: Kintaro RPG-Hen,Tomcat System,Tonkin House,"October 28, 1994",Unreleased,Unreleased
Master Karateka,TOSE,Bandai Shinsei,"December 28, 1989",Unreleased,Unreleased
Matthias Sammer SoccerJ-League Big Wave Soccer JP,Jupiter Corporation,Tomy JPLaguna EU,"November 24, 1995",Unreleased,1997
Maui Mallard in Cold Shadow,Bonsai Entertainment,Sunsoft,Unreleased,August 1998,Unreleased
Die Maus,Bit Managers,Infogrames,Unreleased,Unreleased,1997
MaxRubble Saver II JP,A-Wave,King Records JPInfogrames EU,"March 6, 1992",Unreleased,1992
Medarot: Kabuto Version,Natsume,Imagineer,"November 28, 1997",Unreleased,Unreleased
Medarot: Kuwagata Version,Natsume,Imagineer,"November 28, 1997",Unreleased,Unreleased
Medarot Parts Collection,Natsume,Imagineer,"March 20, 1998",Unreleased,Unreleased
Medarot Parts Collection 2,Natsume,Imagineer,"May 29, 1998",Unreleased,Unreleased
Mega Man IIRockman World 2 JP,Japan System House,Capcom JP/NANintendo EU,"December 20, 1991",February 1992,1992
Mega Man IIIRockman World 3 JP,Minakuchi Engineering,Capcom JP/NANintendo EU,"December 11, 1992",December 1992,1993
Mega Man IVRockman World 4 JP,Minakuchi Engineering,Capcom JP/NALaguna EU,"October 29, 1993",December 1993,1994
Mega Man VRockman World 5 JP,Minakuchi Engineering,Capcom JP/NALaguna EU,"July 22, 1994","September 10, 1994",1994
