0 Degrees,"Action, platformer, puzzle","EastAsiaSoft, Nerd Games, Kiddo Dev",EastAsiaSoft,"May 19, 2021",[1][2][3][4]
#1 Anagrams,"Board game, edutainment, puzzle",Eclipse Games,Eclipse Games,"May 14, 2021",[5][6][7]
#1 Crosswords,"Board game, edutainment, puzzle",Eclipse Games,Eclipse Games,"February 12, 2021",[8][9][10]
1-2-Switch,Party,Nintendo EPD,Nintendo,"March 3, 2017",
10 Second Ninja X,"Action platformer, puzzle",Four Circle Interactive,Thalamus Digital,"July 30, 2021",
10 Second Run Returns,"Party, racing",Blue Print,Blue Print,"December 21, 2017",[11][12][13]
103,"Action, adventure, puzzle",Dystopia Interactive,Dystopia Interactive,"October 2, 2020",[14][15][16]
112 Operator,"Simulation, Strategy, Puzzle, Action",Games Operators,SONKA,"July 23, 2021",[17][18][19][20][21]
112th Seed,"Action, platformer, puzzle","Nerd Games, Slider Games",EastAsiaSoft,"August 6, 2020",[22][23][24][25]
12 Is Better Than 6,Adventure,Ink Stains Games,HypeTrain Digital,"March 5, 2019",[26][27][28]
12 Labours of Hercules,Adventure,"JetDogs, Zoom Out Games",JetDogs,"March 24, 2019",[29][30][31]
12 Labours of Hercules II: The Cretan Bull,Adventure,"JetDogs, Zoom Out Games",JetDogs,"April 6, 2020",[32][33][34][35]
12 Labours of Hercules III: Girl Power,"Adventure, arcade, puzzle, strategy",JetDogs,JetDogs,"January 15, 2021",[36][37][38]
12 Labours of Hercules IV: Mother Nature,"Strategy, Adventure, Puzzle, Arcade","JetDogs, Zoom Out Games",JetDogs,"August 31, 2021",[39][40]
12 Orbits,Party,Roman Uhilg,Roman Uhilg,"April 26, 2018",[41][42][43]
123 Dots,"Education, puzzle, utility",Artax Games,Artax Games,"August 5, 2021",[44][45][46][47]
13 Sentinels: Aegis Rim,"Adventure, real-time strategy",Vanillaware,Atlus,"April 12, 2022",
140,Action,Carlsen Games,Carlsen Games,"January 9, 2020",
16-Bit Soccer,"Arcade, sports",Sprakelsoft,Sprakelsoft,"January 14, 2021",[48][49][50][51]
1912: Titanic Mystery,"Adventure, Puzzle",Ocean Media,Ocean Media,"February 25, 2021",[52][53][54]
1917: The Alien Invasion DX,Action,Andrade Games,Korion,"June 14, 2018",[55][56][57]
1971 Project Helios,Turn-based strategy,Reco Technology,Reco Technology,"June 9, 2020",[58][59][60][61]
1979 Revolution: Black Friday,Adventure,Ink Stories,Ink Stories,"August 2, 2018",
1993 Shenandoah,Arcade,Limit Break,Limit Break,"July 9, 2020",[62][63][64]
198X,Arcade,Hi-Bit Studios,JP: HachinoyonWW: Hi-Bit Studios,"January 23, 2020",
2048 Cat,Puzzle,Millo Games,Millo Games,"December 23, 2019",[65][66][67]
2064: Read Only Memories Integral,Adventure,MidBoss,MidBoss,"August 14, 2018",
20XX,Platformer,Batterystaple Games,Batterystaple Games,"July 10, 2018",
The 25th Ward: The Silver Case,Adventure,"Grasshopper Manufacture, Active Gaming Media",Playism,"February 18, 2021",
2in1: Application Driver and Serial Killer / Sniper,"Action, Arcade, party, racing",Studio João Victor,Game Nacional,"May 5, 2021",[68][69][70]
2urvive,"Action, strategy",2Bad Games,2Bad Games,"November 24, 2020",[71][72][73]
2weistein: The Curse of the Red Dragon,Action-adventure,Red Octopus,Red Octopus,"September 14, 2020",[74][75][76]
2weistein: The Curse of the Red Dragon 2,"Action, Adventure, Edutainment, Role-playing",Red Octopus,Red Octopus,"October 1, 2021",[77][78][79]
3 Little Pigs & Bad Wolf,Party,Making,Making,"July 4, 2019",[80][81][82][83]
3 out of 10: Season One,"Adventure, Puzzle, Action",Terrible Posture Games,Terrible Posture Games,"March 3, 2021",[84][85][86][87]
32 Secs,"Action, adventure, arcade, racing",isTom Games,isTom Games,"May 27, 2021",[88][89][90][91]
36 Fragments of Midnight,Platformer,Petite Games,JP: Rainy FrogWW: Ratalaika Games,"September 14, 2017",[92][93][94]
39 Days to Mars,Adventure,Its Anecdotal,Its Anecdotal,"May 16, 2019",[95][96][97]
3000th Duel,Metroidvania,Neopopcorn,Neopopcorn,"February 19, 2020",[98][99][100]
3D Advantime,"Puzzle, Action",Game Nacional,Game Nacional,"August 7, 2021",[101][102]
3D Air Hockey,"Arcade, sports",Benoit Varasse,Pix Arts,"July 14, 2021",[103][104][105][106]
3D Arcade Fishing,"Arcade, simulation, sports",Independent Arts Software,Treva Entertainment,"March 18, 2021",[107][108][109]
3D MiniGolf,Sports,Joindots,Joindots,"February 1, 2018",[110]
4x4 Dirt Track,"Action, racing, simulation, sports",BoomBit Games,BoomBit Games,"August 21, 2020",[111][112][113]
60 Parsecs!,Adventure,Robot Gentleman,Robot Gentleman,"December 20, 2019",[114][115][116]
60 Seconds!,Adventure,Robot Gentleman,Robot Gentleman,"December 18, 2017",
6180 the moon,Platformer,"Turtle Cream, PokPoong Games",Turtle Cream,"May 24, 2018",
64.0,Action,Rebel Rabbit,Indienova,"October 31, 2019",[117][118][119]
7 Billion Humans,Puzzle,Tomorrow Corporation,Tomorrow Corporation,"October 25, 2018",
7 Years From Now,"Adventure, role-playing",Fumi&Room6,PQube,"June 17, 2021",[120][121][122][123]
7th Sector,Puzzle,Sergey Noskov,Sometimes You,"February 5, 2020",[124]
8-Ball Pocket,Sports,Super PowerUp Games,Super PowerUp Games,"November 21, 2019",[125][126][66][127]
8-Bit Farm,"Simulation, Puzzle, Strategy",Kairosoft,Kairosoft,"November 5, 2020",[128][129][130][131]
80 Days,"Adventure, Strategy",inkle,inkle,"October 1, 2019",
80's Overdrive,Racing,Insane Code,JP: Rainy FrogWW: Insane Code,"May 7, 2020",[132][133][134][135]
88 Heroes: 98 Heroes Edition,Platformer,Bitmap Bureau,Rising Star Games,"October 12, 2017",[136][137][138][139]
9 Monkeys of Shaolin,Beat 'em up,Sobaka Studio,JP: TeyonWW: Buka Entertainment,"October 16, 2020",
9 -Nine-,Visual novel,Palette,Palette,2022,[140]
9th Dawn III: Shadow of Erthil,Action role-playing,Valorware,Valorware,"October 6, 2020",[141]
90s Super GP,Racing,"Nicalis, Pelikan13",Nicalis,TBA,[142]
911 Operator,Simulation,Jutsu Games,Sonka,"October 26, 2018",
99Moves,Action,EnjoyUp Games,JP: StarsignWW: EnjoyUp Games,"February 8, 2019",[143][144][145][146]
99Seconds,Action,EnjoyUp Games,JP: StarsignWW: EnjoyUp Games,"January 4, 2019",[147][148][149][150]
99Vidas,Beat 'em up,QuByte Interactive,QuByte Interactive,"November 27, 2018",
a,"Adventure, Action, Platformer, Arcade",Banana Cat,Banana Cat,"October 14, 2021",[151]
AAA Clock,Platformer,RedDeerGames,RedDeerGames,"October 8, 2021",[152][153][154]
A-Kei Otaku,Visual novel,Worker Bee,Worker Bee,"January 10, 2019",[155]
A-Train: All Aboard! Tourism,Simulation,Artdink,Artdink,"March 12, 2021",
Aaero,"Action, rhythm",Mad Fellows,JP: S2 EntertainmentWW: Mad Fellows,"December 24, 2018",
Abarenbo Tengu & Zombie Nation,Side-scrolling shooter,City Connection,City Connection,"October 28, 2021",[156]
Abbie's Farm for Kids and Toddlers,"Adventure, edutainment, puzzle",Asylum Square,Asylum Square Interactive,"April 1, 2021",[157][158][159][160]
Aborigenus,Platformer,Drageus Games,Drageus Games,"January 10, 2020",[161][162][163]
Absolute Drift,Racing,Funselektor Labs,Funselektor Labs,"December 3, 2020",
Abyss,"Action, Adventure, party, simulation",EnjoyUp Games,EnjoyUp Games,"December 25, 2018",[164][165] [166][167]
Abyss: The Wraiths of Eden,"Adventure, puzzle",Artifex Mundi,Artifex Mundi,"January 21, 2021",[168][169][170][171]
Abyss of the Sacrifice,"Adventure, visual novel",Intense,D3 Publisher,"December 17, 2020",
Abzû,Adventure,Giant Squid Studios,505 Games,"November 29, 2018",
The Academy,Puzzle adventure,Pine Studio,Pine Studio,TBA,[172]
Acalesia,"Action, platformer",BAkau,Victory Road,"April 1, 2021",[157][173][174]
Access Denied,Puzzle,Stately Snail,Ratalaika Games,"February 8, 2019",[143][145][175][176]
Ace Angler,Sports,Racjin,Bandai Namco Entertainment,"July 25, 2019",[177][178][179]
Ace Invaders,"Action, arcade, fighting",Max Interactive Studio,Max Interactive Studio,"February 17, 2021",[180][181][182]
Ace of Seafood,Shoot 'em up,Nussoft,Nussoft,"February 22, 2018",[183][184]
Ace Strike,"Action, arcade, simulation",Benoit Varasse,Pix Arts,"March 6, 2021",[185][186][187]
Aces of the Luftwaffe: Squadron,Shoot 'em up,HandyGames,JP: Worker BeeWW: HandyGames,"November 17, 2017",[188][189][190]
Achtung! Cthulhu Tactics,Tactical role-playing,Auroch Digital,Ripstone,"January 24, 2019",[191][192][193]
Acorn Tactics,Turn-based strategy,Tacs Games,Tacs Games,"November 30, 2017",[194]
Across the Grooves,Adventure,Nova-box,Nova-box,"June 17, 2020",[195][196][197][198][199]
Act it Out XL! A Game of Charades,"Board game, party",Snap Finger Click,Snap Finger Click,"January 12, 2021",[200][201][202]
Active Life: Outdoor Challenge,Arcade,h.a.n.d.,Bandai Namco Entertainment,"September 3, 2021",
Active Neurons,Puzzle,Sometimes You,Sometimes You,"April 29, 2020",[203][204][205][206]
Active Neurons 2,Puzzle,Sometimes You,Sometimes You,"September 16, 2020",[207][208][209][210]
Active Neurons 3: Wonders of the World,"Music, party, puzzle",Sometimes You,Sometimes You,"February 24, 2021",[211][212][213][214]
Active Soccer 2019,Sports,The Fox Software,The Fox Software,"April 19, 2019",[215][216][217]
Actraiser Renaissance,"Action, Simulation, Strategy, Role-playing",Quintet,Square Enix,"September 23, 2021",
Actual Sunlight,Adventure,WZO Games,WZOGI,"January 28, 2020",[218][219][220][221]
Adam's Venture: Origins,Adventure,Vertigo Games,Soedesco,"May 29, 2020",
Adrenaline Rush: Miami Drive,Racing,Cool Small Games,Cool Small Games,"July 12, 2019",[222][223][224]
Advance Wars 1+2: Re-Boot Camp,Turn-based tactics,WayForward,Nintendo,TBA,
Adventure Field 4,"Role-playing, Adventure, Action, Puzzle",Wathitdew Record,Ilya Chkoliar,"August 22, 2021",[225][226][227]
The Adventure Pals,Platformer,Massive Monster,Armor Games,"April 3, 2018",[228][229][230][231][232]
Adventure Time: Pirates of the Enchiridion,Adventure,Climax Studios,NA: Outright GamesPAL: Bandai Namco Entertainment,"July 17, 2018",
Adventure Llama,Adventure,Orube Game Studio,Orube Game Studio,"November 1, 2020",[233][234][235]
The Adventures of 00 Dilly,"Platformer, Arcade",Caipirinha Games,Toplitz Productions,"February 20, 2020",[236][237][238]
Adventures of Bertram Fiddle Episode 1: A Dreadly Business,Adventure,Rumpus Animation,Chorus Worldwide,"March 29, 2018",[239][240]
Adventures of Bertram Fiddle Episode 2: A Bleaker Predicklement,Adventure,Rumpus Animation,Chorus Worldwide,"November 22, 2018",[241][242][243][244]
Adventures of Chris,Platformer,Guin Entertainment,Graffiti Games,"October 8, 2020",[245][246][247]
The Adventures of Elena Temple: Definitive Edition,Platformer,GrimTalin,GrimTalin,"May 15, 2018",[248][249]
Adventures of Pip,Platformer,Tic Toc Games,Tic Toc Games,"September 10, 2020",
The Adventures of Spunk Dodgers and Splat,"Action, Platformer",Bolder Games,Bolder Games,"October 9, 2021",[250][251][252]
Adverse,"Action, arcade, platformer",Loneminded,Loneminded,"January 22, 2021",[168][253][254]
Aegis Defenders,"Tower defense, platformer",Guts Department,Humble Bundle,"February 8, 2018",
Aeolis Tournament,"Action, party",Beyond Fun Studio,Beyond Fun Studio,"July 23, 2020",[255][256][257]
Aeon Drive,"Arcade, Action, Platformer",2Awesome Studio,Critical Reflex,"September 30, 2021",[258][259][260][261][262]
Aeon Must Die!,Beat 'em up,Limestone Games,Focus Home Interactive,"October 14, 2021",[263][264][265][266]
AER Memories of Old,"Adventure, Puzzle",Daedalic Entertainment,Daedalic Entertainment,"August 28, 2019",[267][268][269][270][271]
Aerial_Knight's Never Yield,"Indie game, Music, Platformer, Action",Aerial_Knight,Headup Games,"May 19, 2021",[272][273][274]
Aery: Broken Memories,"Adventure, Racing, Simulation, Puzzle",EpiXR Games,EpiXR,"August 6, 2020",[25][275][276][277]
Aery: Calm Mind,Simulation,EpiXR Games,EpiXR,"July 22, 2021",[278][279][280][281]
Aery: A Journey Beyond Time,"Adventure, Simulation, Arcade",EpiXR Games,EpiXR,"February 25, 2021",[282][283][284][285]
Aery: Little Bird Adventure,"Adventure, Simulation, Racing, Puzzle",EpiXR Games,EpiXR,"June 18, 2020",[286][287][288][289]
Aery: Sky Castle,"Adventure, puzzle, racing, simulation",EpiXR Games,EpiXR Games,"October 8, 2020",[290][291][292][293]
Aeterna Noctis,Metroidvania,Aeternum Game Studios,Aeternum Game Studios,"December 15, 2021",[294]
AeternoBlade,Action-adventure,Corecell Technology,JP: Corecell TechnologyWW: PQube,"February 1, 2018",[295][296][297][298]
AeternoBlade II,Action-adventure,Corecell Technology,JP: Corecell TechnologyWW: PQube,"October 11, 2019",[299][300][301]
AFL Evolution 2,Sports,Wicked Witch Software,Tru Blu Games,"April 16, 2020",[302][303][304]
Afterparty,Adventure,Night School Studio,Night School Studio,"March 6, 2020",
Afterpulse,Action,Digital Legends,Digital Legends,"March 30, 2021",[305][306][307][308]
Agartha-S,"Action, adventure, puzzle",Mebius,Mebius,"January 31, 2019",[309][310][311]
Agatha Christie – Hercule Poirot: The First Cases,Adventure,Blazing Griffin,Microids,"September 28, 2021",[312][313][314][315][316][317]
Agatha Christie: The ABC Murders,Adventure,Artefacts Studio,Microids,"October 6, 2020",
Agatha Knife,"Adventure, Puzzle",Mango Protocol,Mango Protocol,"April 26, 2018",[318][319][320][321]
Age of Sokoban,"Puzzle, Adventure, Platformer, Arcade",Erik Games,Erik Games,"June 10, 2021",[322][323][324]
Ageless,Platformer,One More Dream Studios,Team17,"July 28, 2020",[325][326][327][328]
Agent A: A Puzzle in Disguise,Puzzle,Yak,Yak,"August 29, 2019",
Ages of Mages: The Last Keeper,Third-person shooter,YFC Games,YFC Games,"May 30, 2019",[329][330][331][332]
Aggelos,Action role-playing,Storybird Games,JP: Arc System WorksWW: PQube,"April 24, 2019",[333][334][335][336][337]
Agony,Survival horror,Madmind Studio,Forever Entertainment,"October 31, 2019",
Aground,"Adventure, Role-playing, Simulation",Fancy Fish Games,Whitethorn Digital,"February 11, 2021",[338][339][340]
Ai Kiss 2,Visual novel,Giga,Entergram,"March 25, 2021",[341]
AI: The Somnium Files,Adventure,Spike Chunsoft,Spike Chunsoft,"September 17, 2019",
AI: The Somnium Files – Nirvana Initiative,Adventure,Spike Chunsoft,Spike Chunsoft,"June 23, 2022",
Aikano: Yukizora no Triangle,Visual novel,Prekano,Entergram,"October 29, 2020",[342]
Ailment,"Action, arcade",BeardyBird Games,Ultimate Games,"May 27, 2020",[343][344][345]
Air,Visual novel,Key,Prototype,"September 9, 2021",
Air Bounce: The Jump 'n' Run Challenge,"Adventure, Racing, Platformer, Action",EpiXR Games,EpiXR,"January 21, 2021",[346][347][348][349]
Air Conflicts: Pacific Carriers,Simulation,Games Farm,JP: H2 InteractiveWW: Kalypso Media,"March 26, 2019",
Air Conflicts: Secret Wars,Simulation,Games Farm,JP: H2 InteractiveWW: Kalypso Media,"March 26, 2019",
Air Hockey,Arcade,Sabec,Sabec,"February 28, 2018",[350][351][352][353]
Air Mail,Simulation,N-Fusion Interactive,N-Fusion Interactive,"June 26, 2018",[354][355][356][357]
Air Missions: Hind,Simulation,3Division,Pikii,"July 30, 2020",[358][359]
Air Racers,"Racing, Arcade, Sports, Simulation",Benjamin Kistler,Kistler Studios,"November 1, 2021",[360][361][362]
Air Stunt Racing,"Arcade, Racing",Pix Arts,Pix Arts,"October 30, 2021",[363][364][365][366]
Airborne Kingdom,Strategy,The Wandering Band,Freedom Games,"November 9, 2021",[367][368][369][370]
Aircraft Evolution,Action,Satur Entertainment,Sometimes You,"July 22, 2020",[371][372][373]
Airfield Mania,Simulation,Sprakelsoft,Sprakelsoft,"March 27, 2019",[374][375][376][377]
Airhead,Puzzle platformer,Octato,HandyGames,TBA,[378]
Airheart: Tales of Broken Wings,"Action, shooter, adventure, simulation",Blindflug Studios,Blindflug Studios,"January 31, 2019",[379]
Airoheart,Action-adventure,Pixel Heart Studio,Soedesco,"September 30, 2022",[380]
Akane,"Action, fighting, shooter",Ludic Studios,Qubic Games,"May 17, 2019",[381][382][383][384][385][386]
Akash: Path of the Five,"Adventure, Simulation, Role-playing",Truant Pixel,Truant Pixel,"September 16, 2019",[387][388][389]
Akatori,Metroidvania,TeamNora Games,HypeTrain Digital,2022,[390]
Akiba's Trip: Hellbound & Debriefed,Action role-playing,Acquire,JP: AcquireWW: Xseed Games,"May 20, 2021",
Akihabara: Feel the Rhythm Remixed,"Music, Puzzle, Arcade, Party",JMJ Interactive,JMJ Interactive,"November 29, 2018",[391][392][393][394][395]
Akihabara Crash! 123 Stage +1,"Puzzle, Action, Strategy",Dorasu,Dorasu,"November 29, 2018",[396][397][398][399][400]
Akinofa,"Action, Arcade",Pixel Lantern,Pixel Lantern,"July 15, 2021",[401][402][403][404]
Akita Oga Mystery Guide: The Frozen Silverbell Flower,Adventure,Happymeal,Flyhigh Works,"December 24, 2020",[405]
Akuto: Showdown,"Party, Arcade, Action, Fighting",Hut 90,QubicGames,"December 26, 2019",[66][406][407]
Alan Wake Remastered,Action-adventure,Remedy Entertainment,Epic Games Publishing,Q4 2022,
Alba: A Wildlife Adventure,Adventure,Ustwo,JP: SunsoftWW: PID Publishing,"June 9, 2021",
Alchemic Cutie,Role-playing,"Vakia, Viridian Software",PM Studios,TBA,[408]
Alchemic Dungeons DX,Roguelike,Q-Cumber Factory,Flyhigh Works,"February 14, 2019",[409][410][411][412]
Alchemist Adventure,"Action, Adventure, Puzzle",Bad Minions,Super.com,"June 10, 2021",[322][413][414]
Alchemist Simulator,"Simulation, Puzzle","Art Games Studio, polyslash",Art Games Studio,"March 11, 2021",[415][416][417]
Alchemist's Castle,"Action, Adventure, Platformer, Puzzle",Kodobur Yazilim,Kodobur Yazilim,"October 13, 2019",[418][419][420][421]
Alchemic Jousts,"Strategy, Action, Puzzle",Lunatic Pixels,Lunatic Pixels,"June 12, 2018",[422][423][424][425]
Alder's Blood,"Adventure, Action, Strategy, Role-playing",Shockwork Games,No Gravity Games,"March 13, 2020",[426][427][428]
Aldred Knight,"Adventure, Platformer, Action",QUByte Interactive,QUByte Interactive,"October 8, 2019",[429][430][431]
Aleste Collection,Shoot 'em up,M2,M2,"December 24, 2020",[432][433][434][435]
Alex Kidd in Miracle World DX,Platformer,Jankenteam,Merge Games,"June 22, 2021",
Alfonzo's Arctic Adventure,"Platformer, Action",Spoony Bard Productions,Limited Run Games,"July 30, 2021",[436][437][438][439]
Alfred Hitchcock – Vertigo,Adventure,Pendulo Studios,Microids,2022,
Alice Gear Aegis CS: Concerto of Simulatrix,Action,Pyramid,Mages,"September 8, 2022",
Alice in the Country of Hearts: Wonderful Black World,Visual novel,Idea Factory,Idea Factory,TBA,[440]
Alice in the Country of Hearts: Wonderful White World,Visual novel,QuinRose,Idea Factory,"September 2, 2021",[441]
Alien Cruise,Adventure,Cotton Game,Orenda,"March 14, 2019",[442][443][444][445]
Alien Escape,Puzzle,Korion,Korion,"July 12, 2019",[222][446][447]
Alien Hominid Invasion,Platformer,The Behemoth,The Behemoth,TBA,[448][449][450]
Alien: Isolation,Survival horror,Creative Assembly,Sega,"December 5, 2019",
Aliens Drive Me Crazy,"Action, Platformer, Arcade",Rebel Twins,Rebel Twins,"October 14, 2021",[451][452][453]
All-Star Fruit Racing,Kart racing,3D Clouds,JP: Circle EntertainmentWW: PQube,"July 13, 2018",[454][455][456][457][458]
All Walls Must Fall,"Action role-playling, strategy",inbetweengames,Ultimate Games,"January 20, 2021",[459][460][461]
The Alliance Alive HD Remastered,Role-playing,Cattle Call,JP: FuRyuWW: NIS America,"October 8, 2019",
Alluris,"Adventure, role-playing",562 Interactive,562 Interactive,"September 24, 2020",[462][463][464]
Almightree: The Last Dreamer,"Adventure, platformer, puzzle","Godspeed Games, Chocoarts",West Coast Software,"December 13, 2018",[465][466][467]
The Almost Gone,Puzzle,Happy Volcano,Playdigious,"June 25, 2020",[468][469][470][471]
Almost There: The Platformer,"Action-adventure, platformer",The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,"February 21, 2019",[472][473][474][475]
Alone With You,Adventure,Benjamin Rivers,Benjamin Rivers,"July 30, 2021",[476][477][478][479]
Along the Edge,Adventure,Nova-box,Nova-box,"October 15, 2020",[480][481][482]
Aloof,"Fighting, puzzle",ButtonX,Red Deer Games,"October 14, 2021",[483][484][485][486]
Alpaca Ball: Allstars,"Arcade, Sports",Salt Castle Studio,JP: LeofulWW: BadLand Publishing,"October 15, 2020",[487][488]
Alpha,Action,Kaname,Kaname,"April 18, 2019",[489][490][491]
Alphadia Genesis,"Role-playing, adventure, simulation, strategy",Exe Create,Kemco,"August 6, 2020",[25][492][493][494]
Alphadia Genesis 2,"Role-playing, Adventure, Simulation, Strategy",EXE-CREATE,Kemco,"July 1, 2021",[495][496][497][498]
Alphaset by Powgi,"Board game, puzzle, strategy",Lightwood Games,Lightwood Games,"August 27, 2020",[499][500]
Alt-Frequencies,"Adventure, Puzzle, Board game",Accidental Queens,Plug In Digital,"December 10, 2020",[501][502][503]
Alteric,Platformer,Goonswarm,Sometimes You,"March 30, 2018",[504][505][506]
Alternate Jake Hunter: Daedalus The Awakening of Golden Jazz,Adventure,Neilo,Arc System Works,"December 13, 2018",[329][330][507][508][509]
The Alto Collection,"Endless runner, sandboarding",Team Alto,Snowman,"November 26, 2020",
Aluna: Sentinel of the Shards,"Action, Role-playing, Adventure, Fighting",DigiArt Interactive,DigiArt Interactive,"May 26, 2021",[510][511][512][513]
Alvastia Chronicles,"Adventure, role-playing, simulation, strategy",Exe Create,Kemco,"February 14, 2019",[514][515][516]
Alveole,Puzzle,Emil Ismaylov And Denis Petrov,Sometimes You,"September 1, 2021",[517][518][519]
Alwa's Awakening,Platformer,Elden Pixels,Elden Pixels,"September 27, 2018",[520][521][522][523]
Alwa's Legacy,Platformer,Elden Pixels,Elden Pixels,"September 29, 2020",[524][525][526]
Always Sometimes Monsters,"Adventure, Role-playing",Vagabond Dog,Vagabond Dog,"April 8, 2021",[527][528][529]
Amaekata wa Kanojo Nari ni,Visual novel,Entergram,Entergram,"January 24, 2019",[530][531]
